American Samoa,252
Argentina,34
Australia,11
Bahamas,250
Belgium,208
Belize,1
Bermuda,7
Brazil,289
Cambodia,2
Canada,128
Cayman Isl,1
Chile,776
China,94041
China Taiwan,2192
Colombia,104
Costa Rica,1272
Denmark,1
Dominican Republic,122
Ecuador,6
Egypt,287
Federal Republic of Germany,1
France,62
Germany,643
Greece,46
Guadeloupe,1
Guam,1
Guatemala,1659
Haiti,83
Honduras,248
Hong Kong,4934
Iceland,5
India,1202
Indonesia,7
Israel,55
Italy,354
Jamaica,190
Japan,835
Jordan,31
Kuwait,1
Malaysia,2061
Malta,4
Mexico,389
Morocco,8
Neth Antilles,2
Netherlands,106
New Zealand,6
Oman,2345
Pakistan,670
Panama,2298
Peru,10
Philippines,1
Portugal,43
Romania,54
Saudi Arabia,3
Singapore,4147
South Africa,59
South Korea,4271
Spain,1374
Sri Lanka,743
Sweden,150
Taiwan,2
Thailand,616
Trinidad,9
Turkey,22
US Virgin Is,1
United Arab Em,15
United Kingdom,188
Unknown,15
Venezuela,4
Vietnam,527
